vin,timestamp,end_time,odo,end_odo,soc,end_soc,duration,avg_speed,event_id,event_emb_0,event_emb_1,charge_mode_emb_0,charge_mode_emb_1
2.0,4036.3333333333335,4038.016666666667,15289.4375,15343.89063,64.3,53.3,101.0,32.34839405940586,1169,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4038.016666666667,4047.133333333333,15343.89063,15343.89063,53.3,64.7,547.0,0.0,1170,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4047.133333333333,4047.4166666666665,15343.89063,15352.54688,64.7,63.1,17.0,30.551470588235293,1171,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4047.5666666666666,4049.25,15352.54688,15413.875,62.7,52.1,101.0,36.43254653465354,1172,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4049.2833333333333,4049.383333333333,15413.875,15416.45313,52.1,51.3,6.0,25.781299999998737,1173,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4049.383333333333,4050.3,15416.45313,15416.45313,51.3,51.7,55.0,0.0,1174,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4050.3,4050.3333333333335,15416.45313,15416.79688,51.7,51.7,2.0,10.3125,1175,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4051.05,4051.0666666666666,15416.79688,15417.3125,51.7,51.7,1.0,30.93720000000758,1176,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4051.0833333333335,4053.233333333333,15417.3125,15417.3125,51.7,54.1,129.0,0.0,1177,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4053.233333333333,4058.016666666667,15417.3125,15583.78125,54.1,23.1,287.0,34.801829268292686,1178,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4058.0833333333335,4058.616666666667,15583.78125,15583.78125,23.1,53.7,32.0,0.0,1179,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4058.616666666667,4062.8,15583.78125,15804.96875,53.7,12.5,251.0,52.873505976095615,1180,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4062.8166666666666,4063.8333333333335,15804.96875,15804.96875,12.5,61.5,61.0,0.0,1181,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4063.8333333333335,4064.0833333333335,15804.96875,15813.98438,61.5,59.6,15.0,36.062519999999495,1182,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4064.0833333333335,4071.7833333333333,15813.98438,15813.98438,59.6,69.0,462.0,0.0,1183,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4071.7833333333333,4074.016666666667,15813.98438,15940.14063,69.0,41.9,134.0,56.48787313432835,1184,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4074.233333333333,4076.733333333333,15940.14063,16066.15625,41.5,14.9,150.0,50.40624800000005,1185,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4076.75,4077.266666666667,16066.15625,16066.15625,14.9,44.3,31.0,0.0,1186,-0.29202011227607727,-1.3963449001312256,2.047060489654541,-1.6740423440933228
2.0,4077.266666666667,4078.0,16066.15625,16110.10938,44.3,34.9,44.0,59.93608636363619,1187,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4078.016666666667,4079.016666666667,16110.10938,16110.10938,34.9,84.3,60.0,0.0,1188,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
2.0,4079.016666666667,4079.25,16110.10938,16119.125,84.3,81.9,14.0,38.63837142857197,1189,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4079.266666666667,4079.9166666666665,16119.125,16119.125,81.9,82.3,39.0,0.0,1190,-0.29202011227607727,-1.3963449001312256,1.6389106512069702,0.6988608241081238
2.0,4079.9166666666665,4082.4166666666665,16119.125,16257.57813,82.3,54.1,150.0,55.38125199999995,1191,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4082.516666666667,4082.5833333333335,16257.57813,16259.40625,54.1,54.1,4.0,27.421800000001895,1192,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4082.766666666667,4085.366666666667,16259.40625,16416.59375,53.7,20.7,156.0,60.45673076923077,1193,-1.6600335836410522,-0.46777158975601196,2.047060489654541,-1.6740423440933228
2.0,4085.4,4086.4,16416.59375,16416.59375,20.7,69.8,60.0,0.0,1194,-0.29202011227607727,-1.3963449001312256,1.1969027519226074,-0.9354957938194275
